Date,Cases
6/19/20,2221823
6/20/20,2254357
6/21/20,2280424
6/22/20,2311580
6/23/20,2348846
6/24/20,2385058
6/25/20,2425318
6/26/20,2471636
6/27/20,2513332
6/28/20,2555128
6/29/20,2594831
6/30/20,2643199
7/1/20,2694765
7/2/20,2751137
7/3/20,2803755
7/4/20,2852578
7/5/20,2902914
7/6/20,2945921
7/7/20,3004778
7/8/20,3064424
7/9/20,3125377
7/10/20,3193175
7/11/20,3254434
7/12/20,3315022
7/13/20,3372748
7/14/20,3439222
7/15/20,3507163
7/16/20,3583207
7/17/20,3655387
7/18/20,3719094
7/19/20,3780352
7/20/20,3840854
7/21/20,3906400
7/22/20,3976778
7/23/20,4045011
7/24/20,4119149
7/25/20,4185901
7/26/20,4241907
7/27/20,4298486
7/28/20,4362123
7/29/20,4430586
7/30/20,4498508
7/31/20,4566943
8/1/20,4625879
8/2/20,4671813
8/3/20,4717348
8/4/20,4772284
8/5/20,4828172
8/6/20,4885383
8/7/20,4946465
8/8/20,5001473
8/9/20,5049494
8/10/20,5094986
8/11/20,5147560
8/12/20,5200363
8/13/20,5251846
8/14/20,5316898
8/15/20,5366535
8/16/20,5406514
8/17/20,5442285
8/18/20,5485134
8/19/20,5529402
8/20/20,5574003
8/21/20,5622792
8/22/20,5667156
8/23/20,5701653
8/24/20,5736586
8/25/20,5777469
8/26/20,5821439
8/27/20,5867431
8/28/20,5913962
8/29/20,5958185
8/30/20,5993005
8/31/20,6025727
9/1/20,6068573
9/2/20,6109300
9/3/20,6153648
9/4/20,6204335
9/5/20,6247731
9/6/20,6278720
9/7/20,6302782
9/8/20,6328430
9/9/20,6362833
9/10/20,6398784
9/11/20,6446778
9/12/20,6488478
9/13/20,6522929
9/14/20,6556213
9/15/20,6595694
9/16/20,6634621
9/17/20,6679844
9/18/20,6728999
9/19/20,6771583
9/20/20,6810484
9/21/20,6861236
9/22/20,6901328
9/23/20,6940256
9/24/20,6987643
9/25/20,7036025
9/26/20,7080972
9/27/20,7119048
9/28/20,7151732
9/29/20,7195317
9/30/20,7234441
10/1/20,7280441
10/2/20,7335608
10/3/20,7385106
10/4/20,7420667
10/5/20,7459008
10/6/20,7504414
10/7/20,7555560
10/8/20,7614609
10/9/20,7671318
10/10/20,7726818
10/11/20,7773502
10/12/20,7815103
10/13/20,7866696
10/14/20,7926007
10/15/20,7991091
10/16/20,8060241
10/17/20,8117562
10/18/20,8168382
10/19/20,8235479
10/20/20,8297209
10/21/20,8360395
10/22/20,8436627
10/23/20,8519174
10/24/20,8602490
10/25/20,8664813
10/26/20,8731563
10/27/20,8808624
10/28/20,8887969
10/29/20,8978983
10/30/20,9079084
10/31/20,9169454
11/1/20,9274694
11/2/20,9358793
11/3/20,9486583
11/4/20,9590739
11/5/20,9720652
11/6/20,9848557
11/7/20,9979896
11/8/20,10094696
11/9/20,10214036
11/10/20,10354129
11/11/20,10502916
11/12/20,10665271
11/13/20,10846377
11/14/20,11017471
11/15/20,11154510
11/16/20,11315354
11/17/20,11479206
11/18/20,11652786
11/19/20,11844568
11/20/20,12045859
11/21/20,12226807
11/22/20,12373081
11/23/20,12546334
11/24/20,12723750
11/25/20,12908466
11/26/20,13025772
11/27/20,13229761
11/28/20,13387471
11/29/20,13527961
11/30/20,13684851
12/1/20,13878818
12/2/20,14083073
12/3/20,14307693
12/4/20,14542518
12/5/20,14763322
12/6/20,14941992
12/7/20,15133689
12/8/20,15364395
12/9/20,15586085
12/10/20,15820479
12/11/20,16061349
12/12/20,16281473
12/13/20,16468445
12/14/20,16670559
12/15/20,16892195
12/16/20,17132787
12/17/20,17370469
12/18/20,17619104
12/19/20,17820388
12/20/20,18005829
12/21/20,18197272
12/22/20,18398661
12/23/20,18624247
12/24/20,18829640
12/25/20,18937657
12/26/20,19156326
12/27/20,19310952
12/28/20,19479100
12/29/20,19680515
12/30/20,19902493
12/31/20,20161472
1/1/21,20326220
1/2/21,20622847
1/3/21,20826087
1/4/21,21008966
1/5/21,21240383
1/6/21,21496913
1/7/21,21785740
1/8/21,22088926
1/9/21,22348119
1/10/21,22560939
1/11/21,22773130
1/12/21,22991699
1/13/21,23221307
1/14/21,23460036
1/15/21,23706433
1/16/21,23914589
1/17/21,24091037
1/18/21,24231892
1/19/21,24397436
1/20/21,24582828
1/21/21,24774930
1/22/21,24964386
1/23/21,25138680
1/24/21,25276345
1/25/21,25419379
1/26/21,25563800
1/27/21,25719198
1/28/21,25885879
1/29/21,26052732
1/30/21,26197526
1/31/21,26312724
2/1/21,26442428
2/2/21,26556750
2/3/21,26679906
2/4/21,26803892
2/5/21,26935248
2/6/21,27046025
2/7/21,27137552
2/8/21,27223338
2/9/21,27317769
2/10/21,27413679
2/11/21,27519851
2/12/21,27619694
2/13/21,27708310
2/14/21,27774638
2/15/21,27829145
2/16/21,27888337
2/17/21,27958417
2/18/21,28029735
2/19/21,28107892
2/20/21,28181038
2/21/21,28238821
2/22/21,28294013
2/23/21,28365962
2/24/21,28441001
2/25/21,28519006
2/26/21,28597379
2/27/21,28662928
2/28/21,28714772
3/1/21,28769962
3/2/21,28826957
3/3/21,28894130
3/4/21,28962413
3/5/21,29029382
3/6/21,29088243
3/7/21,29130471
3/8/21,29175269
3/9/21,29230938
3/10/21,29289130
3/11/21,29351917
3/12/21,29413902
3/13/21,29467107
3/14/21,29505818
3/15/21,29561072
3/16/21,29615405
3/17/21,29674813
3/18/21,29735184
3/19/21,29797191
3/20/21,29853831
3/21/21,29888446
3/22/21,29938580
3/23/21,29991994
3/24/21,30078799
3/25/21,30146685
3/26/21,30224177
3/27/21,30288031
3/28/21,30331683
3/29/21,30400043
3/30/21,30461283
3/31/21,30528154
4/1/21,30607348
4/2/21,30678285
4/3/21,30742363
4/4/21,30778445
4/5/21,30853131
4/6/21,30914067
4/7/21,30989098
4/8/21,31069237
4/9/21,31153461
4/10/21,31222150
4/11/21,31268239
4/12/21,31336538
4/13/21,31414621
4/14/21,31490275
4/15/21,31564274
4/16/21,31644564
4/17/21,31697927
4/18/21,31740534
4/19/21,31807718
4/20/21,31868503
4/21/21,31932328
4/22/21,31998846
4/23/21,32061135
4/24/21,32114947
4/25/21,32148612
4/26/21,32195116
4/27/21,32245594
4/28/21,32300871
4/29/21,32359383
4/30/21,32417491
5/1/21,32463735
5/2/21,32493502
5/3/21,32543065
5/4/21,32583178
5/5/21,32628421
5/6/21,32676218
5/7/21,32723854
5/8/21,32758112
5/9/21,32780000
5/10/21,32815832
5/11/21,32849453
5/12/21,32885385
5/13/21,32924345
5/14/21,32965972
5/15/21,32995328
5/16/21,33012569
5/17/21,33040954
5/18/21,33068398
5/19/21,33097686
5/20/21,33127880
5/21/21,33156060
5/22/21,33176507
5/23/21,33189831
5/24/21,33214840
5/25/21,33237484
5/26/21,33261856
5/27/21,33289209
5/28/21,33310959
5/29/21,33323439
5/30/21,33330369
5/31/21,33336282
6/1/21,33358414
6/2/21,33375356
6/3/21,33394571
6/4/21,33411493
6/5/21,33425835
6/6/21,33431521
6/7/21,33446646
6/8/21,33459491
6/9/21,33478405
6/10/21,33492841
6/11/21,33517588
6/12/21,33526283
6/13/21,33531513
6/14/21,33543828
6/15/21,33554678
6/16/21,33567249
6/17/21,33577883
6/18/21,33599174
6/19/21,33607597
6/20/21,33612067
6/21/21,33623762
6/22/21,33634485
6/23/21,33647529
6/24/21,33661326
6/25/21,33685602
6/26/21,33694259
6/27/21,33698529
6/28/21,33713133
6/29/21,33719852
6/30/21,33736132
7/1/21,33750705
7/2/21,33780055
7/3/21,33784707
7/4/21,33788483
7/5/21,33797290
7/6/21,33820679
7/7/21,33843248
7/8/21,33862408
7/9/21,33909846
7/10/21,33918192
7/11/21,33929283
7/12/21,33963016
7/13/21,33989329
7/14/21,34022423
7/15/21,34052216
7/16/21,34129593
7/17/21,34141360
7/18/21,34161261
7/19/21,34213832
7/20/21,34254288
7/21/21,34304779
7/22/21,34359574
7/23/21,34478768
7/24/21,34503833
7/25/21,34529233
7/26/21,34616259
7/27/21,34684754
7/28/21,34753926
7/29/21,34833517
7/30/21,35021435
7/31/21,35052907
8/1/21,35096585
8/2/21,35217392
8/3/21,35320228
8/4/21,35417192
8/5/21,35527944
8/6/21,35783155
8/7/21,35831976
8/8/21,35858582
8/9/21,36039932
8/10/21,36161009
8/11/21,36317153
8/12/21,36459249
8/13/21,36689128
8/14/21,36738125
8/15/21,36779942
8/16/21,37000161
8/17/21,37152448
8/18/21,37311207
8/19/21,37468369
8/20/21,37714080
8/21/21,37780099
8/22/21,37816116
8/23/21,38054258
8/24/21,38211066
8/25/21,38380887
8/26/21,38565412
8/27/21,38808499
8/28/21,38869180
8/29/21,38911351
8/30/21,39171442
8/31/21,39342385
9/1/21,39544401
9/2/21,39720300
9/3/21,39955207
9/4/21,40019704
9/5/21,40060028
9/6/21,40135255
9/7/21,40412400
9/8/21,40594693
9/9/21,40754567
9/10/21,40982433
9/11/21,41046741
9/12/21,41082636
9/13/21,41343518
9/14/21,41488563
9/15/21,41659871
9/16/21,41814832
9/17/21,42022987
9/18/21,42079805
9/19/21,42116199
9/20/21,42318069
9/21/21,42439671
9/22/21,42572535
9/23/21,42698778
9/24/21,42875521
9/25/21,42922506
9/26/21,42968590
9/27/21,43143327
9/28/21,43254625
9/29/21,43377675
9/30/21,43487473
10/1/21,43640183
10/2/21,43679092
10/3/21,43717757
10/4/21,43878345
10/5/21,43974851
10/6/21,44085533
10/7/21,44185486
10/8/21,44311821
10/9/21,44339469
10/10/21,44373863
10/11/21,44481791
10/12/21,44588599
10/13/21,44710257
10/14/21,44796144
10/15/21,44906367
10/16/21,44938251
10/17/21,44967833
10/18/21,45076644
10/19/21,45157567
10/20/21,45248045
10/21/21,45327537
10/22/21,45422535
10/23/21,45449054
10/24/21,45465558
10/25/21,45585047
10/26/21,45653687
10/27/21,45754155
10/28/21,45831593
10/29/21,45924940
10/30/21,45954404
10/31/21,45984022
11/1/21,46100496
11/2/21,46173367
11/3/21,46257736
11/4/21,46339302
11/5/21,46435967
11/6/21,46465823
11/7/21,46487791
11/8/21,46613282
11/9/21,46693102
11/10/21,46789031
