Date,Cases
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,6
1/30/20,6
1/31/20,8
2/1/20,8
2/2/20,8
2/3/20,11
2/4/20,11
2/5/20,11
2/6/20,12
2/7/20,12
2/8/20,12
2/9/20,12
2/10/20,12
2/11/20,13
2/12/20,13
2/13/20,14
2/14/20,14
2/15/20,14
2/16/20,14
2/17/20,14
2/18/20,14
2/19/20,14
2/20/20,14
2/21/20,16
2/22/20,16
2/23/20,16
2/24/20,16
2/25/20,16
2/26/20,16
2/27/20,17
2/28/20,17
2/29/20,25
3/1/20,32
3/2/20,55
3/3/20,74
3/4/20,107
3/5/20,184
3/6/20,237
3/7/20,403
3/8/20,519
3/9/20,594
3/10/20,782
3/11/20,1147
3/12/20,1586
3/13/20,2219
3/14/20,2978
3/15/20,3212
3/16/20,4679
3/17/20,6512
3/18/20,9169
3/19/20,13663
3/20/20,20030
3/21/20,26025
3/22/20,34944
3/23/20,46096
3/24/20,56714
3/25/20,68841
3/26/20,86662
3/27/20,105253
3/28/20,127417
3/29/20,143544
3/30/20,165698
3/31/20,192079
4/1/20,224397
4/2/20,256743
4/3/20,289139
4/4/20,321476
4/5/20,350830
4/6/20,382724
4/7/20,413272
4/8/20,444417
4/9/20,480511
4/10/20,514755
4/11/20,543947
4/12/20,570856
4/13/20,597847
4/14/20,626301
4/15/20,652262
4/16/20,682518
4/17/20,715519
4/18/20,743436
4/19/20,769308
4/20/20,799097
4/21/20,825367
4/22/20,854329
4/23/20,887583
4/24/20,919922
4/25/20,950300
4/26/20,976973
4/27/20,1000766
4/28/20,1025529
4/29/20,1051787
4/30/20,1081076
5/1/20,1115993
5/2/20,1143381
5/3/20,1167579
5/4/20,1191911
5/5/20,1216406
5/6/20,1240646
5/7/20,1268375
5/8/20,1295632
5/9/20,1320213
5/10/20,1339263
5/11/20,1358252
5/12/20,1381137
5/13/20,1401768
5/14/20,1428387
5/15/20,1453216
5/16/20,1477373
5/17/20,1496012
5/18/20,1518336
5/19/20,1539145
5/20/20,1561941
5/21/20,1587903
5/22/20,1611506
5/23/20,1632507
5/24/20,1652955
5/25/20,1671398
5/26/20,1690371
5/27/20,1709861
5/28/20,1731483
5/29/20,1756271
5/30/20,1780344
5/31/20,1799678
6/1/20,1816756
6/2/20,1838073
6/3/20,1857858
6/4/20,1879611
6/5/20,1904623
6/6/20,1925857
6/7/20,1944256
6/8/20,1960823
6/9/20,1978941
6/10/20,2000027
6/11/20,2022429
6/12/20,2047711
6/13/20,2072705
6/14/20,2092036
6/15/20,2110619
6/16/20,2134520
6/17/20,2161860
6/18/20,2190138
