Companies,PFIZER,PFIZER,PFIZER,PFIZER,PFIZER,PFIZER,PFIZER,ASTRAZENECA,ASTRAZENECA,ASTRAZENECA,ASTRAZENECA,ASTRAZENECA,ASTRAZENECA,ASTRAZENECA,BIONTECH,BIONTECH,BIONTECH,BIONTECH,BIONTECH,BIONTECH,BIONTECH,MODERNA,MODERNA,MODERNA,MODERNA,MODERNA,MODERNA,MODERNA,NOVAVAX,NOVAVAX,NOVAVAX,NOVAVAX,NOVAVAX,NOVAVAX,NOVAVAX
HLOCVAcV,High,Low,Open,Close,Volume,Adj Close,VARIATION,High,Low,Open,Close,Volume,Adj Close,VARIATION,High,Low,Open,Close,Volume,Adj Close,VARIATION,High,Low,Open,Close,Volume,Adj Close,VARIATION,High,Low,Open,Close,Volume,Adj Close,VARIATION
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,37.33396530151367,36.88804626464844,37.286529541015625,37.13472366333008,16514072.0,35.677310943603516,-0.15180587768554688,50.4900016784668,50.130001068115234,50.29999923706055,50.38999938964844,3587300.0,48.99202346801758,0.09000015258789062,38.5,35.36000061035156,35.75,38.5,139500,38.5,2.75,19.809999465942383,18.8799991607666,19.56999969482422,19.229999542236328,1233600,19.229999542236328,-0.3400001525878906,4.570000171661377,3.859999895095825,3.990000009536743,4.489999771118164,6124200,4.489999771118164,0.4999997615814209
2020-01-03,37.2296028137207,36.688804626464844,36.736244201660156,36.93548583984375,14922848.0,35.48588562011719,0.19924163818359375,50.380001068115234,49.83000183105469,49.880001068115234,50.09000015258789,1208700.0,48.700347900390625,0.20999908447265625,41.25,36.41999816894531,38.0,40.04999923706055,176000,40.04999923706055,2.049999237060547,19.360000610351562,18.719999313354492,19.020000457763672,18.889999389648438,1751000,18.889999389648438,-0.13000106811523438,4.599999904632568,4.210000038146973,4.46999979019165,4.440000057220459,1709000,4.440000057220459,-0.029999732971191406
2020-01-06,37.00189971923828,36.71726989746094,36.831119537353516,36.88804626464844,15771951.0,35.440311431884766,0.056926727294921875,50.220001220703125,49.7400016784668,50.040000915527344,49.880001068115234,1992300.0,48.49617385864258,-0.15999984741210938,45.0,40.099998474121094,40.11000061035156,44.58000183105469,333300,44.58000183105469,4.470001220703125,18.739999771118164,18.010000228881836,18.700000762939453,18.1299991607666,1606500,18.1299991607666,-0.5700016021728516,4.71999979019165,4.360000133514404,4.409999847412109,4.579999923706055,2111700,4.579999923706055,0.1700000762939453
2020-01-07,37.12523651123047,36.69829177856445,37.11574935913086,36.764705657958984,20108107.0,35.321815490722656,-0.351043701171875,50.29999923706055,49.869998931884766,50.13999938964844,50.06999969482422,1871900.0,48.68090057373047,-0.06999969482421875,48.849998474121094,41.18000030517578,47.400001525878906,43.34000015258789,562100,43.34000015258789,-4.060001373291016,18.31999969482422,17.68000030517578,18.149999618530273,17.780000686645508,1461400,17.780000686645508,-0.3699989318847656,4.659999847412109,4.53000020980835,4.599999904632568,4.570000171661377,1024000,4.570000171661377,-0.029999732971191406
2020-01-08,37.21062469482422,36.764705657958984,36.774192810058594,37.05882263183594,16403507.0,35.60438537597656,0.28462982177734375,50.16999816894531,49.75,49.869998931884766,49.95000076293945,1869000.0,48.564231872558594,0.0800018310546875,46.33000183105469,44.18000030517578,44.29999923706055,45.099998474121094,193900,45.099998474121094,0.7999992370605469,18.079999923706055,17.760000228881836,17.989999771118164,17.979999542236328,1041600,17.979999542236328,-0.010000228881835938,4.599999904632568,4.260000228881836,4.559999942779541,4.28000020980835,1790100,4.28000020980835,-0.2799997329711914
2020-01-09,37.25806427001953,36.80265808105469,37.25806427001953,36.89753341674805,21971895.0,35.449424743652344,-0.3605308532714844,50.18000030517578,49.83000183105469,50.029998779296875,50.08000183105469,1959000.0,48.69062423706055,0.0500030517578125,46.709999084472656,42.709999084472656,46.54999923706055,43.27000045776367,234900,43.27000045776367,-3.279998779296875,18.549999237060547,17.899999618530273,18.0,18.399999618530273,1495700,18.399999618530273,0.39999961853027344,4.260000228881836,3.940000057220459,4.25,4.010000228881836,2095000,4.010000228881836,-0.23999977111816406
2020-01-10,37.5996208190918,36.97343444824219,36.9829216003418,37.466793060302734,21557357.0,35.996341705322266,0.4838714599609375,50.099998474121094,49.79999923706055,49.869998931884766,49.849998474121094,1872900.0,48.467002868652344,-0.020000457763671875,44.9900016784668,38.209999084472656,44.9900016784668,39.68000030517578,369100,39.68000030517578,-5.310001373291016,21.0,19.049999237060547,21.0,19.139999389648438,4504700,19.139999389648438,-1.8600006103515625,4.050000190734863,3.9100000858306885,4.0,3.930000066757202,1682100,3.930000066757202,-0.06999993324279785
2020-01-13,37.73244857788086,37.20113754272461,37.59013366699219,37.390892028808594,15392405.0,35.923423767089844,-0.19924163818359375,49.75,49.41999816894531,49.47999954223633,49.66999816894531,2395900.0,48.291996002197266,0.18999862670898438,41.31999969482422,35.2599983215332,41.0099983215332,37.83000183105469,459400,37.83000183105469,-3.1799964904785156,20.360000610351562,18.600000381469727,19.260000228881836,20.260000228881836,2207500,20.260000228881836,1.0,4.0,3.6500000953674316,3.9700000286102295,3.950000047683716,1766900,3.950000047683716,-0.019999980926513672
